style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
acid_techno,Emmanuel Top,Acid Phase,Attack Records,135,1994,420,France,,"Emmanuel Top e referencia do acid techno europeu.",Acid Techno,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
acid_techno,DJ Pierre,Box Energy,Afro Acid,132,2013,390,United States,Chicago,"DJ Pierre e um dos criadores da linguagem acid house e acid techno.",Acid Techno,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
acid_techno,Regal,L Espace,Involve Records,135,2018,390,Spain,,"Regal representa acid techno moderno com forte pressao de club.",Acid Techno,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
afro_house,Shimza,African Woman,Cadenza,122,2015,420,South Africa,,"Shimza e nome importante do afro house sul-africano.",Afro House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
afro_house,Enoo Napa,We Earth People,MoBlack Records,122,2018,430,South Africa,,"Enoo Napa representa afro house profundo e percussivo.",Afro House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
afro_house,Hyena,Soak It,Rise Music,122,2016,420,South Africa,,"Hyena conecta afro house com producao moderna de pista.",Afro House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
ambient,Stars Of The Lid,Requiem For Dying Mothers,Kranky,70,2001,620,United States,,"Stars Of The Lid e referencia de ambient drone lento e imersivo.",Ambient,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
ambient,Loscil,First Narrows,Kranky,80,2004,420,Canada,,"Loscil trabalha ambient profundo com textura minimalista.",Ambient,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
ambient,Tim Hecker,Ravedeath 1972,Kranky,90,2011,400,Canada,,"Tim Hecker e referencia de ambient textural e ruidoso.",Ambient,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
bass_house,JOYRYDE,HOT DRUM,OWSLA,128,2016,250,United Kingdom,,"JOYRYDE representa bass house de alto impacto.",Bass House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
bass_house,Ephwurd,Vibrations,Spinnin Records,128,2015,260,Canada,,"Ephwurd aparece no bass house moderno de festival.",Bass House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
bass_house,Chris Lorenzo,Fly Kicks,Food Music,128,2015,300,United Kingdom,,"Chris Lorenzo conecta bass house e house britanico pesado.",Bass House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
brazilian_funk,MC Bin Laden,Ta Tranquilo Ta Favoravel,KondZilla,130,2016,210,Brazil,Sao Paulo,"MC Bin Laden marcou o funk paulista com alcance viral.",Brazilian Funk,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
brazilian_funk,DJ Rennan da Penha,Hoje Eu Vou Parar Na Gaiola,Universal Music,130,2019,220,Brazil,Rio de Janeiro,"DJ Rennan da Penha e nome importante do funk carioca moderno.",Brazilian Funk,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
brazilian_funk,DJ Polyvox,Aquecimento das Potrancas,Independent,130,2019,210,Brazil,Rio de Janeiro,"DJ Polyvox representa a energia do baile funk contemporaneo.",Brazilian Funk,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
breakbeat,Freestylers,Push Up,Against The Grain,132,2004,250,United Kingdom,,"Freestylers sao referencia de breakbeat de club.",Breakbeat,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
breakbeat,Stanton Warriors,Da Antidote,Punks,132,2001,360,United Kingdom,,"Stanton Warriors sao nomes importantes do breakbeat britanico.",Breakbeat,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
breakbeat,Elite Force,Cross The Line,U And A Recordings,132,2008,390,United Kingdom,,"Elite Force representa breaks pesados de pista.",Breakbeat,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
chillout,Massive Attack,Teardrop,Virgin,80,1998,330,United Kingdom,,"Massive Attack e referencia de trip hop e chillout escuro.",Chillout,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
chillout,Zero 7,Destiny,Ultimate Dilemma,90,2001,300,United Kingdom,,"Zero 7 cria chillout vocal suave e acessivel.",Chillout,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
chillout,Blue States,Your Girl,Memphis Industries,92,2000,300,United Kingdom,,"Blue States representa chillout cinematografico dos anos 2000.",Chillout,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
deep_house,St Germain,Rose Rouge,Blue Note,120,2000,420,France,,"St Germain conecta deep house jazzistico e groove organico.",Deep House,"Expansao v3 para aumentar cobertura por subgenero.",verified_track_expansion_v3
