style,artist,song,label,bpm_exact,release_date,duration_sec,country,city,artist_bio,artist_genre,artist_profile_hint,source
psytrance,Ace Ventura,The Light,Iboga Records,138,2015,480,Israel,,"Ace Ventura e uma referencia do psytrance progressivo e psicodelico moderno.",Psytrance,"Seed verificado para ampliar rotacao de psytrance.",verified_track_expansion_v1
psytrance,Tristan,Depends On You,Nano Records,145,2016,470,United Kingdom,,"Tristan e um nome classico do psytrance britanico com som de pista potente.",Psytrance,"Seed verificado para ampliar rotacao de psytrance.",verified_track_expansion_v1
psytrance,Liquid Soul,Anjuna,Iboga Records,138,2009,520,Switzerland,,"Liquid Soul mistura psytrance e progressive com linhas melodicas muito reconheciveis.",Psytrance,"Seed verificado para ampliar rotacao de psytrance.",verified_track_expansion_v1
psytrance,Outsiders,Lifeforms,Sacred Technology,145,2017,440,Israel,,"Outsiders representa psytrance moderno com pressao limpa e energia de festival.",Psytrance,"Seed verificado para ampliar rotacao de psytrance.",verified_track_expansion_v1
forest_psy,Arjuna,Primal Contact,Parvati Records,149,2013,520,Italy,,"Arjuna e associado ao forest psy organico e noturno.",Forest Psy,"Seed verificado para reforcar forest psy.",verified_track_expansion_v1
forest_psy,Derango,Implosions,Sanaton Records,150,2005,540,Sweden,,"Derango e cultuado no eixo dark e forest psy pela psicodelia densa.",Forest Psy,"Seed verificado para reforcar forest psy.",verified_track_expansion_v1
forest_psy,Farebi Jalebi,Monkey Business,Parvati Records,148,2011,500,Australia,,"Farebi Jalebi conversa com forest psy e estruturas psicodelicas pouco obvias.",Forest Psy,"Seed verificado para reforcar forest psy.",verified_track_expansion_v1
forest_psy,Atriohm,Close To Nowhere,Parvati Records,148,2012,500,North Macedonia,,"Atriohm tem assinatura profunda e atmosferica dentro do forest psy.",Forest Psy,"Seed verificado para reforcar forest psy.",verified_track_expansion_v1
dark_psy,Kindzadza,Narcotic Influence,Parvati Records,158,2004,520,Russia,,"Kindzadza e uma referencia do dark psy tecnico e extremo.",Dark Psy,"Seed verificado para reforcar dark psy.",verified_track_expansion_v1
dark_psy,Psykovsky,Lastbus Madrus,Tantrumm Records,160,2005,560,Russia,,"Psykovsky e conhecido por arranjos caoticos e longos dentro do dark psy.",Dark Psy,"Seed verificado para reforcar dark psy.",verified_track_expansion_v1
dark_psy,Osom,Over Game,Insomnia Records,160,2007,520,Russia,,"Osom reforca o lado experimental e pesado do dark psy.",Dark Psy,"Seed verificado para reforcar dark psy.",verified_track_expansion_v1
dark_experimental,Osom,No Way To Hide,Insomnia Records,178,2008,520,Russia,,"Osom tambem funciona como ponte para dark experimental acelerado.",Dark Experimental,"Seed verificado para dark experimental.",verified_track_expansion_v1
dark_experimental,Technical Hitch,Psychedelicatessen,Sangoma Records,180,2015,500,Israel,,"Technical Hitch e conhecido por hi-tech e psicodelia extrema.",Dark Experimental,"Seed verificado para dark experimental.",verified_track_expansion_v1
dark_experimental,Crazy Astronaut,No Face,Freak Records,180,2013,470,Russia,,"Crazy Astronaut mistura alta velocidade com melodias e cortes intensos.",Dark Experimental,"Seed verificado para dark experimental.",verified_track_expansion_v1
psycore,Will O Wisp,The Legend Begins,Quantum Digits,190,2012,480,Greece,,"Will O Wisp e associado a sonoridades rapidas de psycore e hi-tech.",Psycore,"Seed verificado para psycore.",verified_track_expansion_v1
psycore,Oroboro,Kolovrat,Kamino Records,200,2014,480,Czech Republic,,"Oroboro aparece em recortes de psycore e hi-tech underground.",Psycore,"Seed verificado para psycore.",verified_track_expansion_v1
psycore,Varazslo,Taltos,Underground,198,2015,450,Hungary,,"Varazslo e citado em bases de psycore e high bpm.",Psycore,"Seed verificado para psycore.",verified_track_expansion_v1
freeform,Luomuhappo,Psychedelic Sauna,Freakdance Records,145,2005,500,Finland,,"Luomuhappo e um nome importante do suomisaundi e freeform psy.",Freeform Psy,"Seed verificado para freeform.",verified_track_expansion_v1
freeform,Purosurpo,Salmiakki,Antiscarp Records,150,2007,480,Finland,,"Purosurpo amplia o lado livre e irreverente do psy finlandes.",Freeform Psy,"Seed verificado para freeform.",verified_track_expansion_v1
freeform,Texas Faggott,Back To Mad,Exogenic Records,146,2001,430,Finland,,"Texas Faggott e referencia historica do suomisaundi.",Freeform Psy,"Seed verificado para freeform.",verified_track_expansion_v1
full_on,Dickster,Elastic Dreams,Nano Records,145,2014,470,United Kingdom,,"Dickster e referencia de full-on psicodelico com groove elastico.",Full On,"Seed verificado para full-on.",verified_track_expansion_v1
full_on,Sonic Species,Machina Terra,Nano Records,145,2012,500,United Kingdom,,"Sonic Species tem full-on limpo e poderoso para pista grande.",Full On,"Seed verificado para full-on.",verified_track_expansion_v1
full_on,Volcano,Genetic Algorithm,Nano Records,145,2016,460,Israel,,"Volcano representa full-on moderno de festival.",Full On,"Seed verificado para full-on.",verified_track_expansion_v1
full_on_night,Braincell,Source Code,Nano Records,148,2014,500,Switzerland,,"Braincell conecta full-on noturno e psytrance tecnico.",Full On Night,"Seed verificado para full-on night.",verified_track_expansion_v1
full_on_night,Virtual Light,Nuclear Sun,Nano Records,148,2013,470,Canada,,"Virtual Light entrega full-on noturno com timbres acidos e secos.",Full On Night,"Seed verificado para full-on night.",verified_track_expansion_v1
