"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","track_url","deezer_track_id","deezer_track_url","cover_art_url","youtube_track_url","source_type","source_tags","energy_band","catalog_role","status","confidence","source_note"
"ambient","Biosphere","Black Mesa","The Petrified Forest","","https://cdnt-preview.dzcdn.net/api/1/1/2/c/2/0/2c23a2d2f27a1d39298574bfa7386b8d.mp3?hdnea=exp=1782089409~acl=/api/1/1/2/c/2/0/2c23a2d2f27a1d39298574bfa7386b8d.mp3*~data=user_id=0,application_id=42~hmac=9769ce7395dfc2795b66dbfb56f6bc73dd045b29728e2d238d173ccf6901d427","","325","International","","Biosphere aparece na expansao v7 curada de ambient com faixa encontrada por artista exato no Deezer e preview tocavel.","ambient","Faixa Deezer ancorada em artista seed real para ambient; priorizar quando houver preview oficial.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/144876014","https://www.deezer.com/track/144876014","144876014","https://www.deezer.com/track/144876014","https://cdn-images.dzcdn.net/images/cover/278f9aab297a4aa2c6a88709994bc4f7/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Biosphere%20Black%20Mesa","deezer_existing_artist_playable_depth","ambient;ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Biosphere","Cygnus-A","Microgravity","","https://cdnt-preview.dzcdn.net/api/1/1/d/0/9/0/d09f635904e33d59034d4065605435b2.mp3?hdnea=exp=1782089409~acl=/api/1/1/d/0/9/0/d09f635904e33d59034d4065605435b2.mp3*~data=user_id=0,application_id=42~hmac=0c98db760237cfdbe3dc0d3713fbb6b05db1c13012188ad39a38423eb6623c11","","304","International","","Biosphere aparece na expansao v7 curada de ambient com faixa encontrada por artista exato no Deezer e preview tocavel.","ambient","Faixa Deezer ancorada em artista seed real para ambient; priorizar quando houver preview oficial.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/593466052","https://www.deezer.com/track/593466052","593466052","https://www.deezer.com/track/593466052","https://cdn-images.dzcdn.net/images/cover/0b7c8abf2e5945e007cb1f931d170579/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Biosphere%20Cygnus-A","deezer_existing_artist_playable_depth","ambient;ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Biosphere","Novelty Waves","Patashnik","","https://cdnt-preview.dzcdn.net/api/1/1/6/1/4/0/6146272c243cb0b3893a333bef2d779d.mp3?hdnea=exp=1782089409~acl=/api/1/1/6/1/4/0/6146272c243cb0b3893a333bef2d779d.mp3*~data=user_id=0,application_id=42~hmac=a6ae64f3f2a63158c29abe4de5433ed2d85d8a554813b128b009365cf6a61c58","","387","International","","Biosphere aparece na expansao v7 curada de ambient com faixa encontrada por artista exato no Deezer e preview tocavel.","ambient","Faixa Deezer ancorada em artista seed real para ambient; priorizar quando houver preview oficial.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/6333480","https://www.deezer.com/track/6333480","6333480","https://www.deezer.com/track/6333480","https://cdn-images.dzcdn.net/images/cover/e0feac3b660551e782925a0caed1552e/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Biosphere%20Novelty%20Waves","deezer_existing_artist_playable_depth","ambient;ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Biosphere","Oi-1","N-Plants","","https://cdnt-preview.dzcdn.net/api/1/1/0/5/6/0/056ca903f916f57845a4aacbd6e16045.mp3?hdnea=exp=1782089409~acl=/api/1/1/0/5/6/0/056ca903f916f57845a4aacbd6e16045.mp3*~data=user_id=0,application_id=42~hmac=29d630254dc16a68b7f9cc78a0752ede61721315757abfe5ab8641c0b5995b6f","","309","International","","Biosphere aparece na expansao v7 curada de ambient com faixa encontrada por artista exato no Deezer e preview tocavel.","ambient","Faixa Deezer ancorada em artista seed real para ambient; priorizar quando houver preview oficial.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/11924725","https://www.deezer.com/track/11924725","11924725","https://www.deezer.com/track/11924725","https://cdn-images.dzcdn.net/images/cover/66b2ead4707988c7709d6ef0aae541f7/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Biosphere%20Oi-1","deezer_existing_artist_playable_depth","ambient;ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Biosphere","SETI Project","Patashnik","","https://cdnt-preview.dzcdn.net/api/1/1/a/f/e/0/afefb8475bf3181198860dd5e4cdcfc0.mp3?hdnea=exp=1782089409~acl=/api/1/1/a/f/e/0/afefb8475bf3181198860dd5e4cdcfc0.mp3*~data=user_id=0,application_id=42~hmac=1c207a9c32119cabcd787a1bfc903c6c56cfe512230f91d0ee028b21d5642b62","","358","International","","Biosphere aparece na expansao v7 curada de ambient com faixa encontrada por artista exato no Deezer e preview tocavel.","ambient","Faixa Deezer ancorada em artista seed real para ambient; priorizar quando houver preview oficial.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/6333484","https://www.deezer.com/track/6333484","6333484","https://www.deezer.com/track/6333484","https://cdn-images.dzcdn.net/images/cover/e0feac3b660551e782925a0caed1552e/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Biosphere%20SETI%20Project","deezer_existing_artist_playable_depth","ambient;ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Biosphere","This Is the End","The Petrified Forest","","https://cdnt-preview.dzcdn.net/api/1/1/b/9/0/0/b90e2add1f73add3c63b94995a73fb0c.mp3?hdnea=exp=1782089409~acl=/api/1/1/b/9/0/0/b90e2add1f73add3c63b94995a73fb0c.mp3*~data=user_id=0,application_id=42~hmac=1ebf4e8779c8a50c63e130a5bcc0677d7cf44adf664c823ee32a17ba4888fbaa","","314","International","","Biosphere aparece na expansao v7 curada de ambient com faixa encontrada por artista exato no Deezer e preview tocavel.","ambient","Faixa Deezer ancorada em artista seed real para ambient; priorizar quando houver preview oficial.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/144876022","https://www.deezer.com/track/144876022","144876022","https://www.deezer.com/track/144876022","https://cdn-images.dzcdn.net/images/cover/278f9aab297a4aa2c6a88709994bc4f7/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Biosphere%20This%20Is%20the%20End","deezer_existing_artist_playable_depth","ambient;ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Brian Eno","_ : Puccini: _: Puccini: Nessun dorma [Turandot]","Pavarotti & Friends Together For The Children Of Bosnia","","https://cdnt-preview.dzcdn.net/api/1/1/0/9/6/0/096c674ad37e920476c73157b6c495b4.mp3?hdnea=exp=1782089410~acl=/api/1/1/0/9/6/0/096c674ad37e920476c73157b6c495b4.mp3*~data=user_id=0,application_id=42~hmac=7a77db2b126c5acc8352a1ac88926302187112d4a7ef44ed5a91c21e8615d919","","178","United Kingdom","","Brian Eno e uma das figuras centrais da musica ambiente.","Ambient","Seed verificado para ambient.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/3034121","https://www.deezer.com/track/3034121","3034121","https://www.deezer.com/track/3034121","https://cdn-images.dzcdn.net/images/cover/a4b7bd5f51679fc91ebc5201b54d2488/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Brian%20Eno%20_%20%3A%20Puccini%3A%20_%3A%20Puccini%3A%20Nessun%20dorma%20%5BTurandot%5D","deezer_existing_artist_playable_depth","ambient;Ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Brian Eno","1/2","Ambient 1: Music For Airports (Remastered 2004)","","https://cdnt-preview.dzcdn.net/api/1/1/6/5/3/0/653410dc074a22fb288bc948d78cf0c1.mp3?hdnea=exp=1782089410~acl=/api/1/1/6/5/3/0/653410dc074a22fb288bc948d78cf0c1.mp3*~data=user_id=0,application_id=42~hmac=581a23a2cffa8d493e45b6623672da5c670fc1bb0d630898b24fc8a9c1f02b6c","","696","United Kingdom","","Brian Eno e uma das figuras centrais da musica ambiente.","Ambient","Seed verificado para ambient.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/3137843","https://www.deezer.com/track/3137843","3137843","https://www.deezer.com/track/3137843","https://cdn-images.dzcdn.net/images/cover/c4ae667b0e909274ee408dd0712e6ae2/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Brian%20Eno%201%2F2","deezer_existing_artist_playable_depth","ambient;Ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Brian Eno","2/2","Ambient 1: Music For Airports (Remastered 2004)","","https://cdnt-preview.dzcdn.net/api/1/1/5/7/9/0/5797ccb7a453433d22d47059e955e7e4.mp3?hdnea=exp=1782089410~acl=/api/1/1/5/7/9/0/5797ccb7a453433d22d47059e955e7e4.mp3*~data=user_id=0,application_id=42~hmac=499da772d7082362553ba3d9b7dd7adfe8a7ad521326ae73ff32fe1f69c2ed31","","578","United Kingdom","","Brian Eno e uma das figuras centrais da musica ambiente.","Ambient","Seed verificado para ambient.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/3137844","https://www.deezer.com/track/3137844","3137844","https://www.deezer.com/track/3137844","https://cdn-images.dzcdn.net/images/cover/c4ae667b0e909274ee408dd0712e6ae2/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Brian%20Eno%202%2F2","deezer_existing_artist_playable_depth","ambient;Ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
"ambient","Brian Eno","Cmon","Secret Life","","https://cdnt-preview.dzcdn.net/api/1/1/7/d/e/0/7de4bd9dfe8d77c0e0b7c450bde69fc3.mp3?hdnea=exp=1782089410~acl=/api/1/1/7/d/e/0/7de4bd9dfe8d77c0e0b7c450bde69fc3.mp3*~data=user_id=0,application_id=42~hmac=9406e279437c5b86124284ae62fb7802b2f42e672076815d68f067679f50958e","","320","United Kingdom","","Brian Eno e uma das figuras centrais da musica ambiente.","Ambient","Seed verificado para ambient.","catalog_playable_depth_v16_20260622","https://www.deezer.com/track/2244604657","https://www.deezer.com/track/2244604657","2244604657","https://www.deezer.com/track/2244604657","https://cdn-images.dzcdn.net/images/cover/ebb6f555e47905e704e648a86cb74876/1000x1000-000000-80-0-0.jpg","https://www.youtube.com/results?search_query=Brian%20Eno%20Cmon","deezer_existing_artist_playable_depth","ambient;Ambient;playable_depth;catalog_playable_depth_v16_20260622","","","published","medium_high","Playable depth v16: Deezer artist top result added only after exact artist-name resolution and preview availability."
