"style","artist","song","label","bpm_exact","preview_url","release_date","duration_sec","country","city","artist_bio","artist_genre","artist_profile_hint","source","source_url","track_url","deezer_track_id","deezer_track_url","cover_art_url","youtube_track_url","soundcloud_track_url","bandcamp_track_url","bandcamp_track_id","source_tags","album_keywords","energy_band","catalog_role","confidence","source_note","social_discovery_links","label_links"
"dark_psy","Umber Vamber","Seeker","Dunes of Illusion","155","https://cdnt-preview.dzcdn.net/api/1/1/4/8/6/0/48646bc2a6ee4befe4585e196020a798.mp3?hdnea=exp=1782081524~acl=/api/1/1/4/8/6/0/48646bc2a6ee4befe4585e196020a798.mp3*~data=user_id=0,application_id=42~hmac=25505da9d8788bd64bf18d14af807cdeea960355551c728d43553a4d6491f430","2024-09-30","526","Russia","Moscow","Umber Vamber e um projeto de Moscou iniciado em 2012, com som psicodelico profundo, atmosferico e groovado em territorio dark forest.","dark forest psytrance / forest psytrance","Usar Umber Vamber para forest/dark forest: faixas publicadas entre 154 e 165 BPM, sem classificar como hi-tech.","cosmic_crew_2026_research","https://www.beatport.com/track/seeker/19556233","https://www.deezer.com/track/3015150071","3015150071","https://www.deezer.com/track/3015150071","https://cdn-images.dzcdn.net/images/cover/1c4f91a82f33a367072143e1b39d3f4f/1000x1000-000000-80-0-0.jpg","","","https://umbervamber1.bandcamp.com/track/umber-vamber-under-the-roots-seeker-155bpm-sound-of-nature-turkey","","forest_psy;dark_forest;155_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Bandcamp do artista lista discografia extensa e descreve o projeto como hybrid dark trance com forest/cosmic tunes.","https://umbervamber1.bandcamp.com/","https://soundofnaturerecords.bandcamp.com/"
"dark_psy","Umber Vamber","Thundering Smoke","Ancient Wisdom Vol.2","160","https://cdnt-preview.dzcdn.net/api/1/1/2/1/f/0/21f286c93f637ff52c1aacd6456f0772.mp3?hdnea=exp=1782081525~acl=/api/1/1/2/1/f/0/21f286c93f637ff52c1aacd6456f0772.mp3*~data=user_id=0,application_id=42~hmac=b5c39e57383356451c293ef875ec8a392c5753438e6b6dda9a4cd5dfbfd3d9d8","2020-12-24","462","Russia","Moscow","Umber Vamber e um projeto de Moscou iniciado em 2012, com som psicodelico profundo, atmosferico e groovado em territorio dark forest.","dark forest psytrance / forest psytrance","Usar Umber Vamber para forest/dark forest: faixas publicadas entre 154 e 165 BPM, sem classificar como hi-tech.","cosmic_crew_2026_research","https://umbervamber1.bandcamp.com/track/umbervamber-alcohbata-thundering-smoke-160bpm-katayy-records-brazil","https://www.deezer.com/track/3615941402","3615941402","https://www.deezer.com/track/3615941402","https://cdn-images.dzcdn.net/images/cover/2a8fd145c6837712314630b0910e0450/1000x1000-000000-80-0-0.jpg","","","https://umbervamber1.bandcamp.com/track/umbervamber-alcohbata-thundering-smoke-160bpm-katayy-records-brazil","","dark_psy;forest;160_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Bandcamp do artista lista discografia extensa e descreve o projeto como hybrid dark trance com forest/cosmic tunes.","https://umbervamber1.bandcamp.com/","https://soundofnaturerecords.bandcamp.com/"
"dark_psy","Umber Vamber","Dark Times","Paradigma: Galactic Darkness","172","https://cdnt-preview.dzcdn.net/api/1/1/a/2/7/0/a27b7facc6b72636063ce52a23190cd5.mp3?hdnea=exp=1782081525~acl=/api/1/1/a/2/7/0/a27b7facc6b72636063ce52a23190cd5.mp3*~data=user_id=0,application_id=42~hmac=9c47c9ceddb6ead40e36132a87f1db550c46167941e414dfda245977bdef2391","2024-07-11","426","Russia","Moscow","Umber Vamber e um projeto de Moscou iniciado em 2012, com som psicodelico profundo, atmosferico e groovado em territorio dark forest.","dark forest psytrance / forest psytrance","Usar Umber Vamber para forest/dark forest: faixas publicadas entre 154 e 165 BPM, sem classificar como hi-tech.","cosmic_crew_2026_research","https://umbervamber1.bandcamp.com/","https://www.deezer.com/track/2886097222","2886097222","https://www.deezer.com/track/2886097222","https://cdn-images.dzcdn.net/images/cover/28221cc479a09aa1881b01bf87503ba6/1000x1000-000000-80-0-0.jpg","","","","","dark_psy;dark_forest;172_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Bandcamp do artista lista discografia extensa e descreve o projeto como hybrid dark trance com forest/cosmic tunes.","https://umbervamber1.bandcamp.com/","https://soundofnaturerecords.bandcamp.com/"
"dark_psy","Umber Sonus","The Web of Meaning","Pattern Breaker","163","https://cdnt-preview.dzcdn.net/api/1/1/6/3/1/0/631ddf633e5f3ebf225b77fc0484cadf.mp3?hdnea=exp=1782081525~acl=/api/1/1/6/3/1/0/631ddf633e5f3ebf225b77fc0484cadf.mp3*~data=user_id=0,application_id=42~hmac=9a00a26ac04e67a4be8634e83b2152242851843bf57a96ef156d02bec1d0f894","2023-11-27","477","Russia","Moscow","Umber Sonus aparece no catalogo do eixo Umber Vamber com faixas dark forest publicadas por Catar, Pralayah, Psionix e outros selos.","dark forest psytrance / forest psytrance","Usar como forest/dark forest de alta energia; nao tratar como hitech apesar de algumas faixas acima de 160 BPM.","cosmic_crew_2026_research","https://www.beatport.com/track/the-web-of-meaning/18351731","https://www.deezer.com/track/2542189261","2542189261","https://www.deezer.com/track/2542189261","https://cdn-images.dzcdn.net/images/cover/dc60b53d1b80d344e0bb2817607af5ef/1000x1000-000000-80-0-0.jpg","","https://m.soundcloud.com/umber_vamber/umber-sonus-the-web-of-meaning-163-bpm-catar-recordsspain","","","dark_forest;forest_psy;163_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Beatport classifica The Web of Meaning como Psy-Trance / Dark & Forest, 163 BPM.","https://umbervamber1.bandcamp.com/",""
"dark_psy","Umber Sonus","Bipolar Inversion","V.A NATURE LITERATURE","155","https://cdnt-preview.dzcdn.net/api/1/1/7/9/3/0/7930d48ea08fb869cf534f3667d3591c.mp3?hdnea=exp=1782081525~acl=/api/1/1/7/9/3/0/7930d48ea08fb869cf534f3667d3591c.mp3*~data=user_id=0,application_id=42~hmac=fd73f2a624c719496650a7c864cc54f50df27e234b6c12caa06551c990f5b810","2024-12-20","473","Russia","Moscow","Umber Sonus aparece no catalogo do eixo Umber Vamber com faixas dark forest publicadas por Catar, Pralayah, Psionix e outros selos.","dark forest psytrance / forest psytrance","Usar como forest/dark forest de alta energia; nao tratar como hitech apesar de algumas faixas acima de 160 BPM.","cosmic_crew_2026_research","https://umbervamber1.bandcamp.com/","https://www.deezer.com/track/3529956401","3529956401","https://www.deezer.com/track/3529956401","https://cdn-images.dzcdn.net/images/cover/39f29db25b1337ee2b85d88ca3feb74d/1000x1000-000000-80-0-0.jpg","","","","","forest_psy;155_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Beatport classifica The Web of Meaning como Psy-Trance / Dark & Forest, 163 BPM.","https://umbervamber1.bandcamp.com/",""
"dark_psy","Umber Sonus","El Kysh","QUANTUM FOAM","","https://cdnt-preview.dzcdn.net/api/1/1/b/e/6/0/be6f12cf51fa926e6184dde727528b1c.mp3?hdnea=exp=1782081526~acl=/api/1/1/b/e/6/0/be6f12cf51fa926e6184dde727528b1c.mp3*~data=user_id=0,application_id=42~hmac=2e1b06f985d05409d4fe0ed0d41551b4dc9209aa1564aa47f15901825a054507","2024-05-02","586","Russia","Moscow","Umber Sonus aparece no catalogo do eixo Umber Vamber com faixas dark forest publicadas por Catar, Pralayah, Psionix e outros selos.","dark forest psytrance / forest psytrance","Usar como forest/dark forest de alta energia; nao tratar como hitech apesar de algumas faixas acima de 160 BPM.","cosmic_crew_2026_research","https://umbervamber1.bandcamp.com/","https://www.deezer.com/track/2744542941","2744542941","https://www.deezer.com/track/2744542941","https://cdn-images.dzcdn.net/images/cover/5d6319b9d8c3daf15c1cbf99614f7edb/1000x1000-000000-80-0-0.jpg","","","","","dark_psy;forest","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Beatport classifica The Web of Meaning como Psy-Trance / Dark & Forest, 163 BPM.","https://umbervamber1.bandcamp.com/",""
"dark_psy","Phagos Sonus","Invitation to a Beheading","Theatre of the Dust","165","https://cdnt-preview.dzcdn.net/api/1/1/a/e/e/0/aee6b396af1ed6005e84997a20643cae.mp3?hdnea=exp=1782081526~acl=/api/1/1/a/e/e/0/aee6b396af1ed6005e84997a20643cae.mp3*~data=user_id=0,application_id=42~hmac=7e998bbd55274b741a4d64d14d9ee6e7daa4c75396a634bfbf6ad6c9e42e5773","2014-03-28","526","Russia","Moscow","Phagos Sonus e o projeto do produtor Alex Zharov, com album Theatre of the Dust em Lycantrop Records e faixa de BPM dark/forest.","darkpsy / forest psytrance","Usar Phagos Sonus para darkpsy/forest narrativo, nao para hitech.","cosmic_crew_2026_research","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014","https://www.deezer.com/track/1854303537","1854303537","https://www.deezer.com/track/1854303537","https://cdn-images.dzcdn.net/images/cover/31926608f05cfb22721d2559071ccaaa/1000x1000-000000-80-0-0.jpg","","","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014","","dark_psy;forest;162_170_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Album Bandcamp lista faixas entre 150 e 170 BPM e projeto de produtor baseado em Moscou.","https://phagossonus.bandcamp.com/",""
"dark_psy","Phagos Sonus","TAnay","Theatre of the Dust","155","https://cdnt-preview.dzcdn.net/api/1/1/d/f/4/0/df4384b578f95af9ef0c23246a1115ba.mp3?hdnea=exp=1782081526~acl=/api/1/1/d/f/4/0/df4384b578f95af9ef0c23246a1115ba.mp3*~data=user_id=0,application_id=42~hmac=1b9638cb6046dcb7a193209df33c1deee2b80e927c5f38d238bdf97b3d245ea1","2014-03-28","519","Russia","Moscow","Phagos Sonus e o projeto do produtor Alex Zharov, com album Theatre of the Dust em Lycantrop Records e faixa de BPM dark/forest.","darkpsy / forest psytrance","Usar Phagos Sonus para darkpsy/forest narrativo, nao para hitech.","cosmic_crew_2026_research","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014","https://www.deezer.com/track/1854303507","1854303507","https://www.deezer.com/track/1854303507","https://cdn-images.dzcdn.net/images/cover/31926608f05cfb22721d2559071ccaaa/1000x1000-000000-80-0-0.jpg","","","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014","","forest_psy;dark_psy;155_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Album Bandcamp lista faixas entre 150 e 170 BPM e projeto de produtor baseado em Moscou.","https://phagossonus.bandcamp.com/",""
"dark_psy","Phagos Sonus","Phantom of the Opera (Ghost Project)","Theatre of the Dust","160","https://cdnt-preview.dzcdn.net/api/1/1/b/1/f/0/b1fa7c3823066a77fea061472a324527.mp3?hdnea=exp=1782081526~acl=/api/1/1/b/1/f/0/b1fa7c3823066a77fea061472a324527.mp3*~data=user_id=0,application_id=42~hmac=8349cc43db12c97557a23f1355493b61142b7a025babdf269b1bc6e04f4e6cf7","2014-03-28","441","Russia","Moscow","Phagos Sonus e o projeto do produtor Alex Zharov, com album Theatre of the Dust em Lycantrop Records e faixa de BPM dark/forest.","darkpsy / forest psytrance","Usar Phagos Sonus para darkpsy/forest narrativo, nao para hitech.","cosmic_crew_2026_research","https://lycantroprecords.bandcamp.com/album/phagos-sonus-theatre-of-the-dust-album-lyccd007-2014","https://www.deezer.com/track/1854303557","1854303557","https://www.deezer.com/track/1854303557","https://cdn-images.dzcdn.net/images/cover/31926608f05cfb22721d2559071ccaaa/1000x1000-000000-80-0-0.jpg","","","","","dark_psy;forest;160_bpm","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Album Bandcamp lista faixas entre 150 e 170 BPM e projeto de produtor baseado em Moscou.","https://phagossonus.bandcamp.com/",""
"dark_psy","Ipotocaticac","The Mirror of the World","The Mirror of the World","","https://cdnt-preview.dzcdn.net/api/1/1/1/9/d/0/19d11d9d5ff72baf2105db6c49323ac3.mp3?hdnea=exp=1782081526~acl=/api/1/1/1/9/d/0/19d11d9d5ff72baf2105db6c49323ac3.mp3*~data=user_id=0,application_id=42~hmac=3f0e002f64e28dfea26d2ececaaa5392863d439eced05235ba22ccf14da3d659","2019-05-21","646","France","Paris","Ipotocaticac e o projeto psytrance de Remo, de Paris, publicado pela Atomes Music com repertorio darkpsy, forestpsy e psygressive.","darkpsy / forestpsy / psygressive","Entrada corrigida do flyer: Ipotocaticac. Classificar como darkpsy/forest/psygressive, nao como hitech.","cosmic_crew_2026_research","https://atomesmusic.bandcamp.com/album/the-mirror-of-the-world","https://www.deezer.com/track/673055022","673055022","https://www.deezer.com/track/673055022","https://cdn-images.dzcdn.net/images/cover/dfb21d9b9c4704b41caebfc2456c25a2/1000x1000-000000-80-0-0.jpg","","","https://atomesmusic.bandcamp.com/album/the-mirror-of-the-world","","darkpsy;forestpsy;psygressive","Cosmic Crew 23 anos;Psychedelic Revolution","festival_lineup_verified","cosmic_crew_2026_lineup_anchor;producer_with_verified_tracks","high","Atomes Music descreve o projeto e inclui tags darkpsy, ethno, forestpsy, psychedelic, psygressive e psytrance.","https://atomesmusic.bandcamp.com/album/people-from-somewhere",""
