"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","source"
"ambient","A Winged Victory For The Sullen","International","","A Winged Victory For The Sullen entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Alva Noto","International","","Alva Noto entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Aphex Twin","International","","Aphex Twin entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Ben Frost","International","","Ben Frost entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Biosphere","International","","Biosphere entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Brian Eno","International","","Brian Eno entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","bvdub","International","","bvdub entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Carbon Based Lifeforms","International","","Carbon Based Lifeforms entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Celer","International","","Celer entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
"ambient","Chihei Hatakeyama","International","","Chihei Hatakeyama entra na expansao v9 curada para reforcar descoberta confiavel em ambient, com seed real ancorado por artista.","ambient","Seed v9 curado para ambient; usado em busca por top tracks de artista, Deezer, iTunes, SoundCloud e diversidade por swipe.","artist_expansion_v9_curated_deezer"
