"style","artist","country","city","artist_bio","artist_genre","artist_profile_hint","scene_role","source_anchor","source_anchor_url","primary_social_url","social_discovery_links","label_links","status","confidence","source_note"
"psycore","ALPSCORE","International","","ALPSCORE is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=ALPSCORE;https://soundcloud.com/search?q=ALPSCORE;https://www.youtube.com/results?search_query=ALPSCORE%20psycore;https://www.google.com/search?q=ALPSCORE%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Artist from the previous psycore inventory that needs direct track verification in a later pass."
"psycore","Baco Ames","International","","Baco Ames is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Baco%20Ames;https://soundcloud.com/search?q=Baco%20Ames;https://www.youtube.com/results?search_query=Baco%20Ames%20psycore;https://www.google.com/search?q=Baco%20Ames%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Popol-Vuh related psycore research candidate from the prior Plankton-style inventory."
"psycore","Chastrophob","International","","Chastrophob is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Chastrophob;https://soundcloud.com/search?q=Chastrophob;https://www.youtube.com/results?search_query=Chastrophob%20psycore;https://www.google.com/search?q=Chastrophob%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Popol-Vuh related psycore research candidate from the prior Plankton-style inventory."
"psycore","Dattatreya","International","","Dattatreya is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Dattatreya;https://soundcloud.com/search?q=Dattatreya;https://www.youtube.com/results?search_query=Dattatreya%20psycore;https://www.google.com/search?q=Dattatreya%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Popol-Vuh related psycore research candidate from the prior Plankton-style inventory."
"psycore","INFRA","Hungary","","INFRA is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=INFRA;https://soundcloud.com/search?q=INFRA;https://www.youtube.com/results?search_query=INFRA%20psycore;https://www.google.com/search?q=INFRA%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Voodoo Hoodoo ASDFEP and prior Plankton-like research queue for extreme psycore verification."
"psycore","Kinetik Flux","International","","Kinetik Flux is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Kinetik%20Flux;https://soundcloud.com/search?q=Kinetik%20Flux;https://www.youtube.com/results?search_query=Kinetik%20Flux%20psycore;https://www.google.com/search?q=Kinetik%20Flux%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Prior psycore research target connected to Plankton-like fast dark psychedelic clusters."
"psycore","Kuma Mela Experiment","International","","Kuma Mela Experiment is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Kuma%20Mela%20Experiment;https://soundcloud.com/search?q=Kuma%20Mela%20Experiment;https://www.youtube.com/results?search_query=Kuma%20Mela%20Experiment%20psycore;https://www.google.com/search?q=Kuma%20Mela%20Experiment%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Artist from the previous psycore inventory that needs direct track verification in a later pass."
"psycore","Manticore","International","","Manticore is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Manticore;https://soundcloud.com/search?q=Manticore;https://www.youtube.com/results?search_query=Manticore%20psycore;https://www.google.com/search?q=Manticore%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Prior psycore research target connected to Plankton-like fast dark psychedelic clusters."
"psycore","Mizter Bonezz","Mexico","","Mizter Bonezz is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Mizter%20Bonezz;https://soundcloud.com/search?q=Mizter%20Bonezz;https://www.youtube.com/results?search_query=Mizter%20Bonezz%20psycore;https://www.google.com/search?q=Mizter%20Bonezz%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Voodoo Hoodoo catalog artist and Popol-Vuh related psycore research candidate."
"psycore","Mukhtar","International","","Mukhtar is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Mukhtar;https://soundcloud.com/search?q=Mukhtar;https://www.youtube.com/results?search_query=Mukhtar%20psycore;https://www.google.com/search?q=Mukhtar%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Popol-Vuh related psycore research candidate from the prior Plankton-style inventory."
"psycore","Neormm","International","","Neormm is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Neormm;https://soundcloud.com/search?q=Neormm;https://www.youtube.com/results?search_query=Neormm%20psycore;https://www.google.com/search?q=Neormm%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Popol-Vuh related psycore research candidate from the prior Plankton-style inventory."
"psycore","Parasitorum","International","","Parasitorum is in the psycore research queue as a scene-depth candidate; verify direct releases before using as a main recommendation anchor.","psycore / hi-tech psytrance / darkpsy","Research queue profile for future psycore track expansion; search Bandcamp, SoundCloud, YouTube and social accounts before publishing track claims.","research_queue_artist","psycore_similar_to_plankton_2026-02-23 / Voodoo Hoodoo catalog","reports/psycore_similar_to_plankton_2026-02-23.md","","https://bandcamp.com/search?q=Parasitorum;https://soundcloud.com/search?q=Parasitorum;https://www.youtube.com/results?search_query=Parasitorum%20psycore;https://www.google.com/search?q=Parasitorum%20official%20instagram%20soundcloud%20bandcamp","","needs_review","medium","Popol-Vuh related psycore research candidate from the prior Plankton-style inventory."
