style,artist,song,label,bpm_exact,bpm_text,release_date,duration_sec,country,city,source_album,source_url,track_url,external_track_id,source_type,source_tags,artist_bio,artist_profile_hint,status,confidence,source_note
psycore,Kashyyyk,The Field,Kamino Records,200,album description states 200 BPM,2020-04-19,466,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-the-field,bc:1446742029,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Sri Lanka,Kamino Records,200,album description states 200 BPM,2020-04-19,415,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-sri-lanka,bc:2475209765,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Strange Times,Kamino Records,200,album description states 200 BPM,2020-04-19,442,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-strange-times,bc:3857419228,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Winter,Kamino Records,200,album description states 200 BPM,2020-04-19,353,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-winter,bc:1532548014,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Dark Crystal,Kamino Records,200,album description states 200 BPM,2020-04-19,422,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-dark-crystal,bc:1193203353,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Shattered,Kamino Records,200,album description states 200 BPM,2020-04-19,437,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-shattered,bc:2115533421,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Ishq,Kamino Records,200,album description states 200 BPM,2020-04-19,518,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-ishq,bc:3077383990,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Pacific,Kamino Records,200,album description states 200 BPM,2020-04-19,409,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-pacific,bc:899968331,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,Asia,Kamino Records,200,album description states 200 BPM,2020-04-19,512,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-asia,bc:2152638285,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Kashyyyk,The Chestnut Tree,Kamino Records,200,album description states 200 BPM,2020-04-19,470,Mexico,Mexico City,Desert Of The Real,https://kamino-records.bandcamp.com/album/desert-of-the-real,https://kamino-records.bandcamp.com/track/kashyyyk-the-chestnut-tree,bc:1449150093,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;200bpm_album_description,Mexican dark psychedelic producer with fast heavy forest infused psycore pressure,Kamino 200 BPM album anchor for dark high speed psycore discovery,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids and duration.
psycore,Audiordinance,Kick Start,Kamino Records,190,190 BPM in title,2025-11-29,408,International,,Cyber Slang,https://kamino-records.bandcamp.com/album/audiordinance-cyber-slang,https://kamino-records.bandcamp.com/track/audiordinance-kick-start-190-bpm,bc:421782120,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;bpm_in_title,Audiordinance is the Ketek and Psykoze collaboration focused on cybernetic high BPM psychedelic pressure,Explicit BPM Kamino EP for modern psycore and hi-tech recommendations,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids duration and BPM appears in each title.
psycore,Audiordinance,Becoming One,Kamino Records,190,190 BPM in title,2025-11-29,412,International,,Cyber Slang,https://kamino-records.bandcamp.com/album/audiordinance-cyber-slang,https://kamino-records.bandcamp.com/track/audiordinance-becoming-one-190-bpm,bc:441886846,bandcamp_jsonld,dark;kamino;psychedelic;psytrance;bpm_in_title,Audiordinance is the Ketek and Psykoze collaboration focused on cybernetic high BPM psychedelic pressure,Explicit BPM Kamino EP for modern psycore and hi-tech recommendations,published,high,Bandcamp JSON-LD and trackinfo expose album date tags track ids duration and BPM appears in each title.
